Time,Log comp,Status,Username,Src IP,Auth client,Auth mechanism,Message,Message ID,Live PCAP
2026-03-10 02:07:59,VPN Portal Authentication,Failed,administrator,93.152.221.162,N/A,AD,Access from IP address '93.152.221.162' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:08:04,VPN Portal Authentication,Failed,administrator,93.152.221.226,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:08:17,VPN Portal Authentication,Failed,https,93.152.221.193,N/A,AD,Access from IP address '93.152.221.193' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:08:22,VPN Portal Authentication,Failed,test,93.152.221.44,N/A,AD,User test failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:08:33,VPN Portal Authentication,Failed,backup,93.152.221.112,N/A,AD,User backup failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:08:47,VPN Portal Authentication,Failed,admin,93.152.221.152,N/A,AD,Access from IP address '93.152.221.152' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:08:54,VPN Portal Authentication,Failed,backup,93.152.221.129,N/A,AD,User backup failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:08:57,VPN Portal Authentication,Failed,administrator,93.152.221.45,N/A,AD,Access from IP address '93.152.221.45' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:09:09,VPN Portal Authentication,Failed,administrator,93.152.221.3,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:09:22,VPN Portal Authentication,Failed,administrator,93.152.221.199,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:09:32,VPN Portal Authentication,Failed,admin,93.152.221.237,N/A,AD,Access from IP address '93.152.221.237' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:09:43,VPN Portal Authentication,Failed,root,93.152.221.108,N/A,AD,User root failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:09:55,VPN Portal Authentication,Failed,administrator,93.152.221.25,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:10:06,VPN Portal Authentication,Failed,root,93.152.221.83,N/A,AD,Access from IP address '93.152.221.83' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:10:13,VPN Portal Authentication,Failed,admin,93.152.221.222,N/A,AD,Access from IP address '93.152.221.222' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:10:19,VPN Portal Authentication,Failed,admin,93.152.221.38,N/A,AD,Access from IP address '93.152.221.38' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:10:33,VPN Portal Authentication,Failed,admin,93.152.221.214,N/A,AD,Access from IP address '93.152.221.214' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:10:39,VPN Portal Authentication,Failed,administrator,93.152.221.124,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:10:44,VPN Portal Authentication,Failed,https,93.152.221.47,N/A,AD,User https failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:10:57,VPN Portal Authentication,Failed,admin,93.152.221.39,N/A,AD,Access from IP address '93.152.221.39' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:11:09,VPN Portal Authentication,Failed,administrator,93.152.221.210,N/A,AD,Access from IP address '93.152.221.210' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:11:17,VPN Portal Authentication,Failed,test,93.152.221.150,N/A,AD,Access from IP address '93.152.221.150' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:11:26,VPN Portal Authentication,Failed,test,93.152.221.73,N/A,AD,Access from IP address '93.152.221.73' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:11:27,VPN Portal Authentication,Failed,root,93.152.221.62,N/A,AD,Access from IP address '93.152.221.62' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:11:39,VPN Portal Authentication,Failed,https,93.152.221.43,N/A,AD,User https failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:11:51,VPN Portal Authentication,Failed,admin,93.152.221.164,N/A,AD,User admin failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:12:01,VPN Portal Authentication,Failed,vpnuser,93.152.221.186,N/A,AD,User vpnuser failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:12:13,VPN Portal Authentication,Failed,root,93.152.221.1,N/A,AD,Access from IP address '93.152.221.1' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:12:21,VPN Portal Authentication,Failed,administrator,93.152.221.141,N/A,AD,Access from IP address '93.152.221.141' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:12:28,VPN Portal Authentication,Failed,administrator,93.152.221.117,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:12:32,VPN Portal Authentication,Failed,backup,93.152.221.105,N/A,AD,Access from IP address '93.152.221.105' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:12:41,VPN Portal Authentication,Failed,root,93.152.221.217,N/A,AD,Access from IP address '93.152.221.217' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:12:47,VPN Portal Authentication,Failed,usuario1,93.152.221.29,N/A,AD,User usuario1 failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:12:52,VPN Portal Authentication,Failed,https,93.152.221.252,N/A,AD,Access from IP address '93.152.221.252' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:12:56,VPN Portal Authentication,Failed,https,93.152.221.138,N/A,AD,Access from IP address '93.152.221.138' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:13:03,VPN Portal Authentication,Failed,usuario1,93.152.221.134,N/A,AD,User usuario1 failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:13:04,VPN Portal Authentication,Failed,administrator,93.152.221.46,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:13:08,VPN Portal Authentication,Failed,administrator,93.152.221.248,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:13:19,VPN Portal Authentication,Failed,root,93.152.221.46,N/A,AD,User root failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:13:32,VPN Portal Authentication,Failed,administrator,93.152.221.107,N/A,AD,Access from IP address '93.152.221.107' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:13:34,VPN Portal Authentication,Failed,root,93.152.221.47,N/A,AD,Access from IP address '93.152.221.47' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:13:37,VPN Portal Authentication,Failed,test,93.152.221.14,N/A,AD,Access from IP address '93.152.221.14' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:13:48,VPN Portal Authentication,Failed,administrator,93.152.221.22,N/A,AD,Access from IP address '93.152.221.22' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:14:01,VPN Portal Authentication,Failed,vpnuser,93.152.221.89,N/A,AD,User vpnuser failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:14:11,VPN Portal Authentication,Failed,admin,93.152.221.143,N/A,AD,Access from IP address '93.152.221.143' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:14:13,VPN Portal Authentication,Failed,admin,93.152.221.208,N/A,AD,User admin failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:14:14,VPN Portal Authentication,Failed,administrator,93.152.221.64,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:14:27,VPN Portal Authentication,Failed,admin,93.152.221.147,N/A,AD,Access from IP address '93.152.221.147' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:14:34,VPN Portal Authentication,Failed,backup,93.152.221.143,N/A,AD,Access from IP address '93.152.221.143' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:14:43,VPN Portal Authentication,Failed,usuario1,93.152.221.159,N/A,AD,Access from IP address '93.152.221.159' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:14:58,VPN Portal Authentication,Failed,test,93.152.221.1,N/A,AD,User test failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:15:04,VPN Portal Authentication,Failed,administrator,93.152.221.5,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:15:15,VPN Portal Authentication,Failed,test,93.152.221.27,N/A,AD,Access from IP address '93.152.221.27' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:15:23,VPN Portal Authentication,Failed,administrator,93.152.221.98,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:15:38,VPN Portal Authentication,Failed,root,93.152.221.253,N/A,AD,Access from IP address '93.152.221.253' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:15:51,VPN Portal Authentication,Failed,root,93.152.221.30,N/A,AD,Access from IP address '93.152.221.30' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:15:59,VPN Portal Authentication,Failed,admin,93.152.221.214,N/A,AD,Access from IP address '93.152.221.214' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:16:14,VPN Portal Authentication,Failed,admin,93.152.221.27,N/A,AD,Access from IP address '93.152.221.27' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:16:17,VPN Portal Authentication,Failed,admin,93.152.221.9,N/A,AD,User admin failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:16:22,VPN Portal Authentication,Failed,test,93.152.221.213,N/A,AD,Access from IP address '93.152.221.213' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:16:36,VPN Portal Authentication,Failed,administrator,93.152.221.242,N/A,AD,Access from IP address '93.152.221.242' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:16:41,VPN Portal Authentication,Failed,administrator,93.152.221.188,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:16:54,VPN Portal Authentication,Failed,admin,93.152.221.1,N/A,AD,User admin failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:17:04,VPN Portal Authentication,Failed,administrator,93.152.221.96,N/A,AD,Access from IP address '93.152.221.96' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:17:13,VPN Portal Authentication,Failed,admin,93.152.221.64,N/A,AD,User admin failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:17:27,VPN Portal Authentication,Failed,root,93.152.221.53,N/A,AD,User root failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:17:35,VPN Portal Authentication,Failed,administrator,93.152.221.134,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:17:46,VPN Portal Authentication,Failed,usuario1,93.152.221.117,N/A,AD,User usuario1 failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:17:59,VPN Portal Authentication,Failed,vpnuser,93.152.221.129,N/A,AD,User vpnuser failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:18:11,VPN Portal Authentication,Failed,admin,93.152.221.62,N/A,AD,Access from IP address '93.152.221.62' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:18:12,VPN Portal Authentication,Failed,administrator,93.152.221.3,N/A,AD,Access from IP address '93.152.221.3' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:18:15,VPN Portal Authentication,Failed,admin,93.152.221.48,N/A,AD,Access from IP address '93.152.221.48' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:18:20,VPN Portal Authentication,Failed,admin,93.152.221.19,N/A,AD,Access from IP address '93.152.221.19' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:18:25,VPN Portal Authentication,Failed,test,93.152.221.80,N/A,AD,User test failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:18:37,VPN Portal Authentication,Failed,vpnuser,93.152.221.210,N/A,AD,Access from IP address '93.152.221.210' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:18:44,VPN Portal Authentication,Failed,root,93.152.221.85,N/A,AD,User root failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:18:45,VPN Portal Authentication,Failed,root,93.152.221.144,N/A,AD,Access from IP address '93.152.221.144' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:18:59,VPN Portal Authentication,Failed,administrator,93.152.221.132,N/A,AD,Access from IP address '93.152.221.132' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:19:02,VPN Portal Authentication,Failed,administrator,93.152.221.216,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:19:05,VPN Portal Authentication,Failed,backup,93.152.221.109,N/A,AD,User backup failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:19:08,VPN Portal Authentication,Failed,test,93.152.221.12,N/A,AD,User test failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:19:13,VPN Portal Authentication,Failed,administrator,93.152.221.148,N/A,AD,Access from IP address '93.152.221.148' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:19:22,VPN Portal Authentication,Failed,admin,93.152.221.233,N/A,AD,Access from IP address '93.152.221.233' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:19:32,VPN Portal Authentication,Failed,root,93.152.221.2,N/A,AD,Access from IP address '93.152.221.2' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:19:34,VPN Portal Authentication,Failed,administrator,93.152.221.70,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:19:36,VPN Portal Authentication,Failed,root,93.152.221.230,N/A,AD,User root failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:19:49,VPN Portal Authentication,Failed,administrator,93.152.221.39,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:19:58,VPN Portal Authentication,Failed,administrator,93.152.221.194,N/A,AD,Access from IP address '93.152.221.194' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:20:03,VPN Portal Authentication,Failed,administrator,93.152.221.70,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
